Locality,Property_Type,BHK,Bathrooms,Balconies,Area_SqFt,Age_Years,Floor_No,Total_Floors,Furnishing,Parking_Spaces,Distance_From_Metro_KM,Price_INR
Janakpuri,Villa,4,4,0,2693.5,19,4,5,Semi-Furnished,2,1.25,31851000.0
Vikaspuri,Apartment,4,2,1,1202.9,6,11,13,Semi-Furnished,0,5.71,9359000.0
Chattarpur,Apartment,2,2,0,1200.1,22,7,15,Unfurnished,0,3.5,6429000.0
Shahdara,Apartment,2,2,2,1355.3,23,2,9,Unfurnished,1,0.73,7471000.0
Karol Bagh,Apartment,2,2,3,756.3,16,14,21,Fully-Furnished,2,4.41,6504000.0
Chattarpur,Apartment,3,3,2,337.0,6,8,11,Semi-Furnished,0,2.4,2933000.0
Rohini,Apartment,3,3,1,1671.2,38,7,16,Semi-Furnished,0,0.28,10206000.0
Greater Kailash,Apartment,2,2,3,1232.6,7,13,22,Semi-Furnished,0,5.59,16943000.0
Mayur Vihar,Independent House,2,2,1,2160.6,20,9,13,Unfurnished,0,0.0,13925000.0
Karol Bagh,Builder Floor,2,2,1,1806.2,16,7,15,Fully-Furnished,0,0.69,17174000.0
Rohini,Builder Floor,1,1,2,1528.9,1,5,7,Semi-Furnished,1,5.47,9881000.0
Paschim Vihar,Apartment,1,1,1,984.5,39,2,6,Semi-Furnished,1,2.97,5922000.0
Chattarpur,Apartment,2,2,2,866.8,7,7,8,Semi-Furnished,0,0.11,6413000.0
Dwarka,Apartment,3,3,3,880.7,5,5,7,Unfurnished,1,1.13,7757000.0
Rohini,Builder Floor,1,1,2,1189.2,18,6,7,Semi-Furnished,0,0.7,5641000.0
Saket,Builder Floor,2,2,3,1499.4,31,0,9,Unfurnished,1,3.16,15347000.0
Greater Kailash,Apartment,1,1,1,1355.1,11,7,15,Unfurnished,2,0.13,16992000.0
Pitampura,Apartment,2,2,3,794.9,2,9,17,Semi-Furnished,1,2.78,6248000.0
Rohini,Independent House,2,2,2,1620.4,22,3,10,Unfurnished,0,1.16,11074000.0
Golf Links,Apartment,4,2,2,849.2,32,3,9,Semi-Furnished,2,0.29,13548000.0
Uttam Nagar,Apartment,2,2,2,1373.4,17,4,7,Semi-Furnished,1,4.57,6425000.0
Paschim Vihar,Independent House,1,1,1,2325.7,37,12,17,Unfurnished,1,2.69,13369000.0
Model Town,Independent House,2,2,1,1619.2,27,9,18,Unfurnished,1,0.55,15281000.0
Golf Links,Apartment,3,3,2,1138.9,0,8,14,Fully-Furnished,1,0.16,26227000.0
Greater Kailash,Apartment,2,2,0,1446.1,16,13,19,Semi-Furnished,0,0.3,18527000.0
Uttam Nagar,Builder Floor,2,2,0,1162.3,21,9,10,Unfurnished,1,5.53,3668000.0
Chattarpur,Apartment,2,2,2,1456.3,6,11,18,Semi-Furnished,1,0.09,11934000.0
Greater Kailash,Apartment,2,2,2,1314.4,16,6,8,Unfurnished,1,1.07,14371000.0
Vikaspuri,Apartment,3,2,3,888.3,3,12,14,Semi-Furnished,0,1.4,6526000.0
Lajpat Nagar,Apartment,1,1,1,1368.2,15,2,8,Semi-Furnished,1,1.12,10744000.0
Golf Links,Builder Floor,3,3,1,1470.2,3,12,19,Semi-Furnished,1,0.57,30871000.0
Pitampura,Apartment,1,1,0,554.6,16,3,7,Unfurnished,0,3.89,3038000.0
Saket,Apartment,3,3,2,1006.9,8,11,18,Semi-Furnished,1,0.73,11600000.0
Pitampura,Apartment,2,2,1,712.1,27,1,9,Unfurnished,1,4.56,4013000.0
Vikaspuri,Apartment,2,2,0,1414.6,20,5,12,Unfurnished,0,4.06,9300000.0
Mayur Vihar,Apartment,4,4,3,1052.5,11,11,15,Fully-Furnished,1,0.64,8662000.0
Uttam Nagar,Apartment,3,2,1,1027.5,16,14,15,Unfurnished,2,5.33,5196000.0
Najafgarh,Apartment,2,2,1,1142.5,6,12,16,Semi-Furnished,1,0.81,4445000.0
Hauz Khas,Independent House,2,2,3,1417.0,28,3,12,Unfurnished,1,1.05,18948000.0
Najafgarh,Apartment,2,2,1,1194.1,28,3,9,Unfurnished,1,0.26,4546000.0
Model Town,Apartment,4,4,2,1328.4,17,4,8,Semi-Furnished,1,0.17,13527000.0
Hauz Khas,Apartment,4,3,1,1367.9,1,10,14,Unfurnished,1,2.19,24646000.0
Najafgarh,Independent House,2,2,0,1977.4,6,9,11,Unfurnished,1,1.36,7858000.0
Vasant Vihar,Independent House,3,3,0,2264.7,10,7,9,Semi-Furnished,2,0.78,49069000.0
Karol Bagh,Builder Floor,1,1,3,1098.1,32,12,20,Semi-Furnished,0,0.12,7761000.0
Najafgarh,Apartment,2,2,0,1211.0,24,1,9,Unfurnished,0,1.95,3652000.0
Golf Links,Builder Floor,3,3,1,1858.8,1,14,23,Fully-Furnished,0,4.42,39520000.0
Chattarpur,Independent House,1,1,1,1690.8,11,5,13,Fully-Furnished,2,2.6,11977000.0
Najafgarh,Villa,4,4,1,2403.9,22,12,17,Semi-Furnished,1,1.8,13772000.0
Vikaspuri,Builder Floor,3,3,0,1749.5,16,8,14,Fully-Furnished,1,0.22,11853000.0
Chattarpur,Independent House,4,2,1,1596.0,27,2,8,Unfurnished,2,4.5,9903000.0
Chattarpur,Independent House,3,3,2,1655.3,26,8,16,Unfurnished,1,0.2,11664000.0
Lajpat Nagar,Builder Floor,1,1,2,1380.3,2,0,5,Unfurnished,1,2.23,12569000.0
Saket,Independent House,3,3,0,1605.5,19,12,16,Semi-Furnished,2,1.39,22799000.0
Saket,Apartment,3,3,1,1303.9,21,10,13,Unfurnished,1,1.48,15503000.0
Model Town,Apartment,1,1,0,1436.6,11,14,21,Unfurnished,1,3.43,14346000.0
Saket,Apartment,3,3,0,897.8,34,7,15,Semi-Furnished,1,0.91,7635000.0
Lajpat Nagar,Builder Floor,4,3,2,1190.2,15,8,17,Fully-Furnished,1,6.8,14155000.0
Hauz Khas,Apartment,2,2,1,1014.7,22,1,10,Unfurnished,0,0.83,13499000.0
Hauz Khas,Apartment,2,2,3,1099.7,14,13,21,Fully-Furnished,0,1.9,14409000.0
Chattarpur,Apartment,3,2,0,417.5,9,9,18,Semi-Furnished,1,1.03,2575000.0
Chattarpur,Apartment,1,1,2,1244.8,3,0,7,Semi-Furnished,2,1.72,7479000.0
Model Town,Apartment,3,2,0,1696.6,28,2,6,Semi-Furnished,1,0.77,16261000.0
Najafgarh,Independent House,4,4,1,2908.6,6,12,13,Unfurnished,2,0.79,14172000.0
Saket,Builder Floor,3,3,3,1369.6,32,9,14,Semi-Furnished,1,0.84,14762000.0
Mayur Vihar,Builder Floor,2,2,1,1197.5,17,2,9,Fully-Furnished,1,0.49,7592000.0
Vasant Vihar,Builder Floor,2,2,1,1320.6,23,5,7,Fully-Furnished,1,3.07,19024000.0
Najafgarh,Builder Floor,1,1,0,1310.7,21,4,11,Semi-Furnished,0,3.63,3672000.0
Dwarka,Apartment,2,2,1,1229.3,37,12,15,Fully-Furnished,0,0.43,7340000.0
Uttam Nagar,Apartment,4,3,3,1608.7,6,14,21,Unfurnished,0,1.56,11107000.0
Defence Colony,Apartment,3,3,3,1373.5,24,0,9,Unfurnished,0,2.35,16502000.0
Defence Colony,Builder Floor,3,2,0,1299.9,27,2,10,Unfurnished,1,1.07,16182000.0
Chattarpur,Independent House,2,2,0,2211.6,19,5,7,Semi-Furnished,1,1.58,14733000.0
Paschim Vihar,Apartment,3,3,2,1003.0,38,4,10,Semi-Furnished,1,1.99,8223000.0
Lajpat Nagar,Villa,2,2,1,3450.1,32,2,6,Fully-Furnished,0,2.36,33403000.0
Golf Links,Independent House,3,3,0,2787.4,27,2,10,Unfurnished,2,4.23,46969000.0
Rohini,Apartment,2,2,2,573.8,31,13,15,Semi-Furnished,0,1.28,2656000.0
Janakpuri,Apartment,1,1,1,1045.0,30,4,12,Semi-Furnished,1,0.29,5391000.0
Defence Colony,Builder Floor,2,2,1,1449.0,10,8,14,Unfurnished,1,0.22,20945000.0
Greater Kailash,Apartment,3,3,1,832.6,34,13,14,Unfurnished,0,3.96,9855000.0
Lajpat Nagar,Independent House,4,4,1,2407.8,8,0,3,Unfurnished,0,3.13,22269000.0
Paschim Vihar,Apartment,2,2,0,1737.4,38,14,23,Unfurnished,0,1.02,11674000.0
Pitampura,Independent House,2,2,1,2399.4,14,2,11,Fully-Furnished,1,1.66,17473000.0
Paschim Vihar,Builder Floor,2,2,1,1149.9,8,13,18,Unfurnished,2,0.05,9951000.0
Hauz Khas,Apartment,3,3,1,760.2,22,6,14,Fully-Furnished,0,0.98,11330000.0
Model Town,Builder Floor,2,2,0,1348.5,24,12,19,Semi-Furnished,1,0.91,11918000.0
Greater Kailash,Apartment,2,2,1,1487.1,15,7,16,Unfurnished,1,4.55,20390000.0
Vikaspuri,Apartment,2,2,1,1062.9,39,2,10,Unfurnished,1,1.33,5983000.0
Shahdara,Apartment,3,3,2,930.5,24,6,7,Semi-Furnished,0,0.56,5146000.0
Golf Links,Apartment,3,3,3,850.4,19,5,12,Unfurnished,1,2.71,15624000.0
Hauz Khas,Independent House,4,4,1,1438.9,6,11,18,Unfurnished,2,1.59,26481000.0
Paschim Vihar,Apartment,3,3,3,578.2,2,3,6,Fully-Furnished,1,2.39,6184000.0
Shahdara,Apartment,2,2,0,1194.2,26,14,16,Semi-Furnished,0,0.57,4904000.0
Uttam Nagar,Builder Floor,1,1,1,1373.4,28,1,3,Unfurnished,2,1.41,5553000.0
Saket,Apartment,3,3,1,917.8,19,4,9,Fully-Furnished,2,3.84,8326000.0
Shahdara,Apartment,3,3,2,1160.7,4,3,6,Unfurnished,0,1.08,6994000.0
Golf Links,Apartment,2,2,2,885.6,0,14,15,Semi-Furnished,1,0.55,19093000.0
Lajpat Nagar,Builder Floor,3,3,0,1107.3,33,6,8,Unfurnished,0,0.99,9450000.0
Paschim Vihar,Apartment,4,4,2,1361.0,29,9,11,Semi-Furnished,2,1.32,12828000.0
Karol Bagh,Independent House,4,3,2,2363.9,28,4,13,Unfurnished,1,0.54,21127000.0
Model Town,Apartment,2,2,0,1134.7,34,13,19,Fully-Furnished,2,2.67,8747000.0
Karol Bagh,Apartment,2,2,2,783.1,21,2,10,Unfurnished,1,0.04,5588000.0
Paschim Vihar,Apartment,1,1,1,1154.3,15,11,17,Unfurnished,1,2.93,8558000.0
Karol Bagh,Apartment,3,3,3,1116.1,13,13,20,Semi-Furnished,1,0.43,11156000.0
Shahdara,Apartment,3,2,1,1296.5,5,2,4,Unfurnished,0,6.02,7154000.0
Janakpuri,Villa,1,1,1,3132.9,4,12,14,Semi-Furnished,0,7.95,26069000.0
Najafgarh,Builder Floor,2,2,3,1759.2,22,6,9,Fully-Furnished,1,5.16,5948000.0
Pitampura,Apartment,2,2,1,1410.8,35,4,5,Unfurnished,2,2.14,6442000.0
Model Town,Independent House,2,2,1,2643.5,1,14,18,Semi-Furnished,1,0.44,33441000.0
Vasant Vihar,Builder Floor,1,1,1,1148.2,32,0,8,Fully-Furnished,0,1.32,18890000.0
Pitampura,Apartment,3,3,1,1152.0,17,6,14,Unfurnished,2,2.61,6760000.0
Chattarpur,Builder Floor,3,3,3,1070.8,19,7,15,Semi-Furnished,0,0.75,6552000.0
Uttam Nagar,Apartment,2,2,2,1686.0,2,1,2,Fully-Furnished,1,2.87,9289000.0
Shahdara,Apartment,4,4,2,1359.7,6,13,17,Fully-Furnished,2,1.01,10246000.0
Shahdara,Apartment,3,3,2,1052.4,19,6,15,Unfurnished,0,1.81,5067000.0
Vasant Vihar,Builder Floor,5,4,3,950.3,13,11,12,Fully-Furnished,1,2.46,22254000.0
Golf Links,Independent House,1,1,1,899.6,12,6,7,Fully-Furnished,1,0.33,18766000.0
Vikaspuri,Independent House,5,3,1,2355.0,5,12,16,Unfurnished,1,3.38,22823000.0
Model Town,Apartment,2,2,0,1733.7,6,10,15,Unfurnished,1,0.36,18841000.0
Defence Colony,Apartment,3,3,2,970.4,37,7,15,Semi-Furnished,1,0.62,12713000.0
Karol Bagh,Builder Floor,1,1,0,893.2,30,2,3,Semi-Furnished,1,0.36,6306000.0
Karol Bagh,Builder Floor,2,2,2,1455.4,5,7,10,Semi-Furnished,0,0.57,14621000.0
Golf Links,Apartment,2,2,0,1172.9,28,9,15,Semi-Furnished,2,0.29,15289000.0
Dwarka,Builder Floor,3,3,2,945.5,21,11,18,Unfurnished,0,1.95,6161000.0
Saket,Apartment,2,2,1,1817.2,27,8,12,Fully-Furnished,0,0.43,20014000.0
Vikaspuri,Builder Floor,3,3,1,1449.4,39,13,20,Unfurnished,0,1.15,8414000.0
Golf Links,Apartment,2,2,1,944.7,23,7,12,Unfurnished,1,6.78,13864000.0
Hauz Khas,Apartment,4,4,1,1143.8,22,10,16,Unfurnished,0,1.09,12398000.0
Rohini,Apartment,1,1,1,729.2,39,10,12,Unfurnished,2,0.95,3230000.0
Mayur Vihar,Apartment,3,2,1,1238.1,8,14,19,Semi-Furnished,0,2.54,8337000.0
Pitampura,Apartment,4,4,2,802.5,14,3,8,Unfurnished,0,2.38,5307000.0
Defence Colony,Villa,2,2,1,2389.4,15,13,17,Fully-Furnished,2,0.77,46618000.0
Mayur Vihar,Apartment,1,1,3,1123.9,27,7,10,Unfurnished,2,2.78,5850000.0
Karol Bagh,Apartment,2,2,3,1680.4,9,10,19,Unfurnished,1,1.02,13126000.0
Model Town,Apartment,2,2,2,1060.2,8,12,17,Unfurnished,2,0.49,10368000.0
Golf Links,Builder Floor,2,2,1,1867.6,11,3,8,Unfurnished,1,2.18,27872000.0
Shahdara,Apartment,4,2,1,1135.9,37,6,12,Unfurnished,0,1.76,5006000.0
Golf Links,Builder Floor,3,3,1,1487.2,33,6,14,Semi-Furnished,1,1.54,24841000.0
Janakpuri,Builder Floor,2,2,2,944.3,21,1,10,Fully-Furnished,1,0.24,5595000.0
Hauz Khas,Builder Floor,3,2,3,1558.0,36,4,5,Semi-Furnished,2,0.73,19609000.0
Paschim Vihar,Apartment,5,3,0,1649.0,3,10,12,Fully-Furnished,0,1.22,17413000.0
Pitampura,Apartment,3,3,0,1070.3,7,0,1,Unfurnished,0,0.08,7891000.0
Pitampura,Apartment,3,3,1,1302.6,12,13,21,Fully-Furnished,1,1.53,9627000.0
Mayur Vihar,Apartment,4,4,1,1429.2,19,5,11,Fully-Furnished,0,1.28,8656000.0
Uttam Nagar,Apartment,5,2,1,897.3,39,2,11,Unfurnished,1,0.6,3646000.0
Chattarpur,Apartment,3,3,1,1075.4,22,8,9,Semi-Furnished,2,2.28,7895000.0
Karol Bagh,Villa,2,2,2,3039.8,16,4,11,Fully-Furnished,2,0.54,35635000.0
Dwarka,Apartment,3,3,1,1098.3,13,4,6,Unfurnished,1,0.29,9144000.0
Lajpat Nagar,Apartment,2,2,1,631.1,34,5,8,Unfurnished,1,0.42,4210000.0
Janakpuri,Apartment,2,2,1,1149.3,17,10,17,Fully-Furnished,0,1.2,10659000.0
Golf Links,Apartment,2,2,1,1072.5,34,1,6,Semi-Furnished,1,3.63,14768000.0
Mayur Vihar,Apartment,2,2,0,936.9,14,7,16,Unfurnished,1,1.35,4892000.0
Defence Colony,Builder Floor,3,3,2,1856.7,6,13,22,Semi-Furnished,1,0.19,33625000.0
Golf Links,Apartment,2,2,0,1552.7,36,1,4,Fully-Furnished,1,0.25,26743000.0
Mayur Vihar,Apartment,4,2,2,885.2,5,2,7,Semi-Furnished,0,1.42,6154000.0
Saket,Villa,3,3,2,2631.4,13,12,18,Semi-Furnished,1,0.13,37346000.0
Pitampura,Villa,2,2,1,2850.3,2,2,10,Fully-Furnished,2,0.11,29347000.0
Janakpuri,Independent House,2,2,1,2168.8,10,13,20,Unfurnished,1,2.51,19587000.0
Greater Kailash,Apartment,2,2,1,1085.8,33,1,10,Semi-Furnished,0,1.21,11131000.0
Saket,Builder Floor,4,4,0,1468.1,28,7,12,Semi-Furnished,0,3.29,15424000.0
Defence Colony,Apartment,2,2,1,898.3,17,6,7,Unfurnished,1,1.34,12692000.0
Golf Links,Apartment,3,3,2,809.1,23,12,19,Unfurnished,0,0.97,14205000.0
Golf Links,Villa,3,3,2,3431.4,38,3,6,Semi-Furnished,1,2.12,49750000.0
Saket,Independent House,5,5,0,2305.3,10,14,16,Fully-Furnished,1,1.55,38309000.0
Dwarka,Builder Floor,2,2,0,1557.4,9,4,13,Unfurnished,1,5.28,11601000.0
Karol Bagh,Apartment,2,2,3,1302.4,4,13,18,Semi-Furnished,1,0.62,12224000.0
Rohini,Apartment,1,1,2,887.0,12,7,14,Semi-Furnished,2,2.67,5069000.0
Saket,Builder Floor,3,2,0,1297.8,20,7,11,Semi-Furnished,1,2.0,15165000.0
Najafgarh,Independent House,3,3,0,2443.3,36,5,12,Semi-Furnished,2,0.04,10465000.0
Najafgarh,Independent House,2,2,1,1784.6,25,12,15,Unfurnished,2,2.51,7375000.0
Defence Colony,Builder Floor,3,3,2,1064.2,26,0,7,Semi-Furnished,0,0.22,18019000.0
Greater Kailash,Independent House,1,1,2,2435.6,21,4,8,Fully-Furnished,0,2.05,32971000.0
Shahdara,Apartment,3,3,2,1289.3,25,12,13,Unfurnished,2,7.47,5643000.0
Hauz Khas,Builder Floor,2,2,2,1518.6,10,0,3,Fully-Furnished,2,0.36,21019000.0
Lajpat Nagar,Apartment,3,3,3,812.4,6,0,1,Unfurnished,1,4.75,6872000.0
Dwarka,Apartment,2,2,1,1673.5,34,13,19,Unfurnished,1,1.45,10253000.0
Model Town,Builder Floor,1,1,3,1056.9,17,1,10,Unfurnished,0,0.49,9905000.0
Mayur Vihar,Independent House,3,3,3,2389.0,36,1,5,Unfurnished,1,2.31,14584000.0
Dwarka,Apartment,2,2,2,999.8,3,11,18,Unfurnished,0,1.7,7668000.0
Karol Bagh,Apartment,3,3,1,1291.2,28,12,14,Semi-Furnished,0,2.54,8834000.0
Uttam Nagar,Apartment,4,3,2,798.3,37,12,14,Fully-Furnished,0,0.01,4319000.0
Saket,Apartment,2,2,2,1619.3,4,5,10,Fully-Furnished,2,0.36,19655000.0
Greater Kailash,Apartment,2,2,1,1342.7,2,13,17,Unfurnished,0,8.56,16035000.0
Pitampura,Apartment,3,3,1,1221.3,12,13,18,Unfurnished,1,2.63,7297000.0
Lajpat Nagar,Apartment,2,2,1,1100.1,2,9,18,Fully-Furnished,1,3.18,12913000.0
Shahdara,Builder Floor,3,3,0,1919.0,39,3,9,Unfurnished,1,0.85,7227000.0
Rohini,Builder Floor,2,2,2,1681.9,26,7,10,Semi-Furnished,0,1.1,10424000.0
Pitampura,Apartment,5,3,0,991.1,7,4,9,Fully-Furnished,1,0.6,9179000.0
Janakpuri,Apartment,3,2,3,904.0,12,6,7,Semi-Furnished,1,1.67,7755000.0
Shahdara,Builder Floor,3,2,1,1874.2,5,13,19,Semi-Furnished,1,5.46,11262000.0
Vikaspuri,Apartment,1,1,1,1005.4,8,14,18,Unfurnished,2,2.48,5615000.0
Golf Links,Apartment,4,3,2,1002.9,18,2,4,Fully-Furnished,0,2.09,21544000.0
Lajpat Nagar,Apartment,1,1,0,1240.5,1,4,12,Unfurnished,1,2.31,10144000.0
Vikaspuri,Builder Floor,2,2,1,1277.9,31,2,4,Unfurnished,2,3.91,7390000.0
Rohini,Apartment,3,2,2,1230.0,25,1,10,Semi-Furnished,0,0.25,6952000.0
Karol Bagh,Apartment,1,1,2,934.6,2,11,18,Semi-Furnished,0,3.27,7616000.0
Defence Colony,Apartment,3,3,0,1137.9,27,11,18,Unfurnished,1,0.03,13849000.0
Golf Links,Independent House,3,2,2,1186.8,1,8,14,Unfurnished,2,1.54,33271000.0
Defence Colony,Builder Floor,5,3,0,1074.8,21,6,15,Fully-Furnished,2,7.72,18948000.0
Defence Colony,Apartment,3,3,0,933.8,11,12,19,Fully-Furnished,2,2.89,16291000.0
Najafgarh,Builder Floor,2,2,1,1517.5,14,3,4,Semi-Furnished,0,2.5,5376000.0
Paschim Vihar,Apartment,2,2,0,1178.4,17,12,19,Fully-Furnished,1,0.16,10369000.0
Shahdara,Apartment,3,3,2,687.5,12,1,8,Unfurnished,0,1.62,3206000.0
Pitampura,Apartment,2,2,1,1926.6,19,8,12,Fully-Furnished,1,0.22,12615000.0
Najafgarh,Apartment,1,1,1,532.4,39,13,16,Unfurnished,2,0.95,1486000.0
Shahdara,Apartment,3,2,2,562.5,37,2,6,Semi-Furnished,1,1.66,2715000.0
Saket,Builder Floor,4,4,0,1080.1,30,7,8,Semi-Furnished,0,0.26,14993000.0
Janakpuri,Independent House,1,1,3,1648.2,8,11,14,Fully-Furnished,0,2.23,15626000.0
Model Town,Apartment,4,4,2,1022.0,29,6,9,Unfurnished,0,0.94,9110000.0
Uttam Nagar,Builder Floor,3,3,2,1218.7,37,6,9,Semi-Furnished,1,0.23,5191000.0
Lajpat Nagar,Builder Floor,3,3,3,1414.2,11,2,7,Semi-Furnished,1,2.28,13020000.0
Karol Bagh,Builder Floor,2,2,1,1439.2,12,4,8,Unfurnished,1,0.46,11840000.0
Greater Kailash,Apartment,4,3,1,939.7,2,11,15,Semi-Furnished,1,2.57,16581000.0
Shahdara,Apartment,2,2,1,1025.0,23,5,7,Unfurnished,0,0.44,4286000.0
Rohini,Builder Floor,2,2,1,1144.3,27,7,14,Unfurnished,2,2.1,6218000.0
Greater Kailash,Builder Floor,2,2,2,1390.9,7,3,7,Semi-Furnished,2,0.33,24163000.0
Dwarka,Independent House,4,3,0,1530.8,37,3,5,Unfurnished,1,1.36,8974000.0
Defence Colony,Independent House,4,4,2,1831.4,2,6,13,Semi-Furnished,0,0.5,33817000.0
Model Town,Builder Floor,2,2,2,1576.2,24,2,9,Unfurnished,1,0.04,16550000.0
Hauz Khas,Apartment,4,3,0,1560.3,29,5,8,Unfurnished,1,4.67,20505000.0
Mayur Vihar,Villa,3,3,3,3054.7,1,12,13,Fully-Furnished,2,2.98,28876000.0
Vasant Vihar,Builder Floor,3,3,2,1546.7,32,13,21,Unfurnished,0,1.53,22996000.0
Karol Bagh,Apartment,5,3,2,1004.4,24,2,9,Semi-Furnished,1,0.04,9168000.0
Najafgarh,Apartment,2,2,1,1558.6,39,1,2,Fully-Furnished,1,2.61,5222000.0
Pitampura,Apartment,2,2,2,1181.9,12,0,4,Unfurnished,0,0.43,6497000.0
Shahdara,Apartment,2,2,1,1334.0,35,6,11,Unfurnished,1,0.37,5945000.0
Hauz Khas,Builder Floor,3,3,2,1181.4,15,6,12,Unfurnished,1,0.62,16992000.0
Dwarka,Apartment,4,4,1,1123.0,33,12,19,Unfurnished,2,4.73,7054000.0
Golf Links,Apartment,2,2,1,1783.1,19,9,14,Unfurnished,2,4.87,25026000.0
Janakpuri,Builder Floor,1,1,0,1581.0,24,2,5,Fully-Furnished,1,1.42,10731000.0
Janakpuri,Apartment,3,3,2,1020.4,16,9,17,Unfurnished,2,2.31,8882000.0
Paschim Vihar,Builder Floor,3,3,0,1035.0,11,6,7,Unfurnished,1,4.34,7033000.0
Dwarka,Builder Floor,3,2,1,1491.9,4,1,9,Semi-Furnished,1,0.4,12580000.0
Lajpat Nagar,Apartment,3,3,1,857.4,28,5,11,Unfurnished,1,0.07,7345000.0
Dwarka,Apartment,3,2,0,587.1,22,13,21,Unfurnished,1,1.04,3731000.0
Saket,Independent House,4,3,1,2758.4,35,14,21,Unfurnished,1,3.18,30359000.0
Pitampura,Builder Floor,2,2,0,1409.7,18,2,4,Unfurnished,1,7.04,8219000.0
Najafgarh,Apartment,2,2,2,1059.7,9,6,13,Unfurnished,2,0.28,4515000.0
Dwarka,Apartment,1,1,0,904.9,11,2,6,Semi-Furnished,2,3.86,6069000.0
Karol Bagh,Builder Floor,1,1,2,1506.0,12,14,16,Unfurnished,1,2.67,11183000.0
Hauz Khas,Apartment,1,1,0,927.8,18,6,12,Unfurnished,2,0.53,10760000.0
Lajpat Nagar,Builder Floor,4,3,2,1639.4,5,0,9,Fully-Furnished,0,1.37,17567000.0
Vasant Vihar,Independent House,2,2,1,1532.9,19,0,4,Unfurnished,0,0.67,25768000.0
Shahdara,Apartment,2,2,0,870.2,35,5,9,Unfurnished,1,0.83,3195000.0
Dwarka,Apartment,4,3,1,1165.6,23,2,11,Semi-Furnished,2,4.14,8399000.0
Karol Bagh,Independent House,1,1,2,1679.2,13,7,10,Unfurnished,2,2.76,10556000.0
Najafgarh,Builder Floor,3,3,1,1363.7,33,9,15,Fully-Furnished,1,0.43,5992000.0
Janakpuri,Apartment,3,3,1,1206.4,7,2,10,Unfurnished,1,1.33,11543000.0
Karol Bagh,Builder Floor,3,3,2,1338.2,30,0,2,Fully-Furnished,0,1.22,11223000.0
Pitampura,Apartment,3,3,0,771.0,10,14,18,Semi-Furnished,0,4.46,5340000.0
Paschim Vihar,Apartment,2,2,1,979.7,25,6,12,Unfurnished,1,1.64,7199000.0
Vasant Vihar,Builder Floor,2,2,3,1779.6,19,1,2,Unfurnished,1,3.3,27348000.0
Defence Colony,Apartment,3,3,2,1179.1,1,5,6,Unfurnished,2,0.74,23151000.0
Defence Colony,Apartment,3,3,2,619.1,13,11,14,Unfurnished,1,0.96,9051000.0
Shahdara,Independent House,2,2,2,1725.2,8,3,8,Unfurnished,0,0.83,11204000.0
Pitampura,Apartment,4,3,0,1357.4,6,4,5,Fully-Furnished,2,2.74,11630000.0
Shahdara,Independent House,3,2,0,2451.9,9,7,15,Unfurnished,1,5.76,13562000.0
Paschim Vihar,Builder Floor,3,3,2,1063.2,38,12,13,Fully-Furnished,1,2.75,8039000.0
Greater Kailash,Apartment,2,2,0,1242.7,24,10,19,Unfurnished,2,1.25,12811000.0
Shahdara,Independent House,5,3,1,1739.9,35,3,8,Fully-Furnished,1,0.24,11604000.0
Hauz Khas,Independent House,2,2,1,1899.2,17,9,16,Unfurnished,1,1.4,22064000.0
Hauz Khas,Apartment,4,4,1,1509.2,38,12,18,Unfurnished,0,2.33,16609000.0
Uttam Nagar,Apartment,1,1,0,1086.1,10,11,14,Semi-Furnished,1,3.41,4706000.0
Pitampura,Apartment,3,2,0,727.3,19,8,10,Unfurnished,0,5.39,3690000.0
Greater Kailash,Builder Floor,5,5,1,2171.6,1,13,15,Semi-Furnished,0,6.55,29510000.0
Rohini,Builder Floor,4,4,0,1407.4,37,10,15,Unfurnished,1,1.79,6858000.0
Paschim Vihar,Apartment,2,2,0,993.5,25,14,21,Fully-Furnished,1,0.04,6543000.0
Lajpat Nagar,Builder Floor,4,4,1,1016.3,35,6,15,Unfurnished,1,6.34,7720000.0
Greater Kailash,Apartment,2,2,1,841.0,37,5,13,Semi-Furnished,0,0.02,11358000.0
Karol Bagh,Apartment,4,3,1,1305.1,15,2,4,Semi-Furnished,1,1.3,12524000.0
Chattarpur,Apartment,4,2,1,1389.2,29,8,11,Fully-Furnished,1,2.88,9721000.0
Mayur Vihar,Apartment,4,3,1,1306.4,36,10,14,Unfurnished,0,0.38,7053000.0
Rohini,Independent House,4,4,0,1628.2,19,11,15,Semi-Furnished,1,0.96,11449000.0
Pitampura,Independent House,1,1,0,1435.8,18,0,5,Unfurnished,1,0.73,9422000.0
Pitampura,Builder Floor,3,3,0,1302.0,12,13,15,Unfurnished,2,0.2,9083000.0
Mayur Vihar,Builder Floor,2,2,1,1071.0,32,13,15,Unfurnished,0,3.7,6254000.0
Vasant Vihar,Builder Floor,1,1,2,1118.6,10,12,21,Unfurnished,0,2.23,16730000.0
Chattarpur,Builder Floor,3,3,0,994.2,7,5,9,Fully-Furnished,1,2.37,6655000.0
Vikaspuri,Builder Floor,3,3,1,1084.5,26,10,11,Unfurnished,1,0.98,5511000.0
Uttam Nagar,Apartment,4,3,0,899.6,22,10,15,Unfurnished,2,0.15,4224000.0
Chattarpur,Apartment,4,4,1,839.1,14,10,14,Unfurnished,0,2.2,6405000.0
